epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,6035.26,1.33953,1.35076,1.95121,0.82629,0.7528,0.839,0.5488,1.18945,1.07548,1.87051,0.0018816,0.0006272,0.0018816,0.0006272,0.0018816,0.0006272,0.0018816,0.0006272
54,6150.3,1.33882,1.37088,1.94844,0.82766,0.73109,0.8339,0.54978,1.20034,1.06651,1.88802,0.0018024,0.0006008,0.0018024,0.0006008,0.0018024,0.0006008,0.0018024,0.0006008
55,6265.13,1.3046,1.34893,1.92068,0.79702,0.76993,0.84038,0.55585,1.18126,1.052,1.86643,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
56,6380.68,1.28868,1.30496,1.89437,0.81937,0.76541,0.8426,0.55656,1.17458,1.05543,1.85609,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
57,6497.02,1.31925,1.33104,1.92434,0.83651,0.75601,0.85484,0.57333,1.16238,1.02356,1.84147,0.0015648,0.0005216,0.0015648,0.0005216,0.0015648,0.0005216,0.0015648,0.0005216
58,6611.25,1.3008,1.31494,1.90042,0.84771,0.77731,0.86097,0.57831,1.14767,1.00804,1.82158,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
59,6726.35,1.3009,1.3178,1.91905,0.85546,0.76262,0.86389,0.57646,1.14054,1.01325,1.82311,0.0014064,0.0004688,0.0014064,0.0004688,0.0014064,0.0004688,0.0014064,0.0004688
60,6841.35,1.26173,1.29518,1.89466,0.82572,0.78361,0.85448,0.58197,1.13524,1.00273,1.81502,0.0013272,0.0004424,0.0013272,0.0004424,0.0013272,0.0004424,0.0013272,0.0004424
61,6956.27,1.31696,1.32059,1.90633,0.82211,0.80259,0.86603,0.59119,1.11311,1.0013,1.78502,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
62,7070.87,1.28431,1.29444,1.8906,0.83787,0.78852,0.86713,0.5969,1.10949,0.97481,1.78066,0.0011688,0.0003896,0.0011688,0.0003896,0.0011688,0.0003896,0.0011688,0.0003896
63,7185.53,1.26445,1.27858,1.87233,0.83973,0.79252,0.8699,0.59741,1.10538,0.97269,1.77779,0.0010896,0.0003632,0.0010896,0.0003632,0.0010896,0.0003632,0.0010896,0.0003632
64,7299.85,1.2896,1.28653,1.89394,0.86273,0.78783,0.87056,0.60516,1.08793,0.96494,1.76104,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
65,7415.09,1.26283,1.26889,1.88312,0.84016,0.80112,0.87183,0.60349,1.09262,0.95189,1.75526,0.0009312,0.0003104,0.0009312,0.0003104,0.0009312,0.0003104,0.0009312,0.0003104
66,7526.64,1.22292,1.27391,1.91382,0.84068,0.79444,0.87015,0.59771,1.10762,0.97461,1.78062,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
67,7637.68,1.18389,1.17993,1.88884,0.83383,0.79412,0.87442,0.60438,1.09591,0.9525,1.75566,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
68,7748.67,1.16133,1.14838,1.88256,0.84964,0.79534,0.8755,0.60688,1.08123,0.95518,1.75184,0.0006936,0.0002312,0.0006936,0.0002312,0.0006936,0.0002312,0.0006936,0.0002312
69,7859.36,1.13838,1.10857,1.82948,0.84965,0.79936,0.87814,0.61218,1.07025,0.93562,1.74364,0.0006144,0.0002048,0.0006144,0.0002048,0.0006144,0.0002048,0.0006144,0.0002048
70,7972.52,1.12889,1.09398,1.8352,0.86766,0.80182,0.88448,0.61963,1.0674,0.92174,1.73776,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
71,8108.43,1.12726,1.10241,1.81518,0.87793,0.80078,0.89049,0.62609,1.04729,0.91374,1.71457,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
72,8219.54,1.12386,1.09403,1.80986,0.87637,0.79202,0.89131,0.63038,1.03679,0.90501,1.70127,0.0003768,0.0001256,0.0003768,0.0001256,0.0003768,0.0001256,0.0003768,0.0001256
73,8330.92,1.10837,1.07074,1.80205,0.85917,0.80742,0.88977,0.62859,1.03341,0.90102,1.70064,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
74,8441.93,1.0915,1.0733,1.78858,0.85423,0.82485,0.89375,0.63425,1.0271,0.89719,1.69086,0.0002184,7.28e-05,0.0002184,7.28e-05,0.0002184,7.28e-05,0.0002184,7.28e-05
75,8552.76,1.08749,1.05892,1.78713,0.86645,0.8087,0.8948,0.6363,1.02128,0.88824,1.68668,0.0001392,4.64e-05,0.0001392,4.64e-05,0.0001392,4.64e-05,0.0001392,4.64e-05
